Ensemble_ID,Chromosome,Uniprot_ID,Gene_symbol,Biotype,GO_name,Namespace,distance,peak_Start,peak_Stop,Cell_line,Fold_change,p-value,q-value
ENST00000056233,7,Q9Y4A8,NFE2L3,protein_coding,"transcription factor activity, sequence-specific DNA binding",molecular_function,0,26156450,26156500,GM12891,3.55503,7.60524,3.59366
ENST00000056233,7,Q9Y4A8,NFE2L3,protein_coding,protein binding,molecular_function,0,26156450,26156500,GM12891,3.55503,7.60524,3.59366
ENST00000056233,7,Q9Y4A8,NFE2L3,protein_coding,cytoplasm,cellular_component,0,26156450,26156500,GM12891,3.55503,7.60524,3.59366
ENST00000056233,7,Q9Y4A8,NFE2L3,protein_coding,transcription coactivator activity,molecular_function,0,26156450,26156500,GM12891,3.55503,7.60524,3.59366
ENST00000056233,7,Q9Y4A8,NFE2L3,protein_coding,transcription from RNA polymerase II promoter,biological_process,0,26156450,26156500,GM12891,3.55503,7.60524,3.59366
ENST00000056233,7,Q9Y4A8,NFE2L3,protein_coding,"positive regulation of transcription, DNA-templated",biological_process,0,26156450,26156500,GM12891,3.55503,7.60524,3.59366
ENST00000056233,7,Q9Y4A8,NFE2L3,protein_coding,transcription regulatory region sequence-specific DNA binding,molecular_function,0,26156450,26156500,GM12891,3.55503,7.60524,3.59366
ENST00000056233,7,Q9Y4A8,NFE2L3,protein_coding,RNA polymerase II core promoter proximal region sequence-specific DNA binding,molecular_function,0,26156450,26156500,GM12891,3.55503,7.60524,3.59366
ENST00000056233,7,Q9Y4A8,NFE2L3,protein_coding,"transcriptional repressor activity, RNA polymerase II core promoter proximal region sequence-specific binding",molecular_function,0,26156450,26156500,GM12891,3.55503,7.60524,3.59366
ENST00000056233,7,Q9Y4A8,NFE2L3,protein_coding,negative regulation of transcription from RNA polymerase II promoter,biological_process,0,26156450,26156500,GM12891,3.55503,7.60524,3.59366
ENST00000216122,22,P33992,MCM5,protein_coding,nucleus,cellular_component,0,35404850,35404950,HUVEC,15.14073,45.12187,41.90056
ENST00000216122,22,P33992,MCM5,protein_coding,membrane,cellular_component,0,35404850,35404950,HUVEC,15.14073,45.12187,41.90056
ENST00000216122,22,P33992,MCM5,protein_coding,nucleotide binding,molecular_function,0,35404850,35404950,HUVEC,15.14073,45.12187,41.90056
ENST00000216122,22,P33992,MCM5,protein_coding,ATP binding,molecular_function,0,35404850,35404950,HUVEC,15.14073,45.12187,41.90056
ENST00000216122,22,P33992,MCM5,protein_coding,nucleoplasm,cellular_component,0,35404850,35404950,HUVEC,15.14073,45.12187,41.90056
ENST00000216122,22,P33992,MCM5,protein_coding,hydrolase activity,molecular_function,0,35404850,35404950,HUVEC,15.14073,45.12187,41.90056
ENST00000216122,22,P33992,MCM5,protein_coding,DNA binding,molecular_function,0,35404850,35404950,HUVEC,15.14073,45.12187,41.90056
ENST00000216122,22,P33992,MCM5,protein_coding,helicase activity,molecular_function,0,35404850,35404950,HUVEC,15.14073,45.12187,41.90056
ENST00000216122,22,P33992,MCM5,protein_coding,DNA duplex unwinding,biological_process,0,35404850,35404950,HUVEC,15.14073,45.12187,41.90056
ENST00000216122,22,P33992,MCM5,protein_coding,cell division,biological_process,0,35404850,35404950,HUVEC,15.14073,45.12187,41.90056
ENST00000216122,22,P33992,MCM5,protein_coding,protein binding,molecular_function,0,35404850,35404950,HUVEC,15.14073,45.12187,41.90056
ENST00000216122,22,P33992,MCM5,protein_coding,DNA replication initiation,biological_process,0,35404850,35404950,HUVEC,15.14073,45.12187,41.90056
ENST00000216122,22,P33992,MCM5,protein_coding,cell cycle,biological_process,0,35404850,35404950,HUVEC,15.14073,45.12187,41.90056
ENST00000216122,22,P33992,MCM5,protein_coding,DNA replication,biological_process,0,35404850,35404950,HUVEC,15.14073,45.12187,41.90056
ENST00000216122,22,P33992,MCM5,protein_coding,chromatin binding,molecular_function,0,35404850,35404950,HUVEC,15.14073,45.12187,41.90056
ENST00000216122,22,P33992,MCM5,protein_coding,DNA helicase activity,molecular_function,0,35404850,35404950,HUVEC,15.14073,45.12187,41.90056
ENST00000216122,22,P33992,MCM5,protein_coding,MCM complex,cellular_component,0,35404850,35404950,HUVEC,15.14073,45.12187,41.90056
ENST00000216122,22,P33992,MCM5,protein_coding,"nuclear chromosome, telomeric region",cellular_component,0,35404850,35404950,HUVEC,15.14073,45.12187,41.90056
ENST00000216122,22,P33992,MCM5,protein_coding,DNA replication origin binding,molecular_function,0,35404850,35404950,HUVEC,15.14073,45.12187,41.90056
ENST00000216122,22,P33992,MCM5,protein_coding,G1/S transition of mitotic cell cycle,biological_process,0,35404850,35404950,HUVEC,15.14073,45.12187,41.90056
ENST00000216367,14,P56282,POLE2,protein_coding,nucleus,cellular_component,0,49678400,49678550,A549,7.04724,14.2141,9.68713
ENST00000216367,14,P56282,POLE2,protein_coding,nucleus,cellular_component,0,49678400,49678550,Beas,5.45907,38.18264,33.39785
ENST00000216367,14,P56282,POLE2,protein_coding,intracellular membrane-bounded organelle,cellular_component,0,49678400,49678550,A549,7.04724,14.2141,9.68713
ENST00000216367,14,P56282,POLE2,protein_coding,intracellular membrane-bounded organelle,cellular_component,0,49678400,49678550,Beas,5.45907,38.18264,33.39785
ENST00000216367,14,P56282,POLE2,protein_coding,nucleoplasm,cellular_component,0,49678400,49678550,A549,7.04724,14.2141,9.68713
ENST00000216367,14,P56282,POLE2,protein_coding,nucleoplasm,cellular_component,0,49678400,49678550,Beas,5.45907,38.18264,33.39785
ENST00000216367,14,P56282,POLE2,protein_coding,transferase activity,molecular_function,0,49678400,49678550,A549,7.04724,14.2141,9.68713
ENST00000216367,14,P56282,POLE2,protein_coding,transferase activity,molecular_function,0,49678400,49678550,Beas,5.45907,38.18264,33.39785
ENST00000216367,14,P56282,POLE2,protein_coding,DNA binding,molecular_function,0,49678400,49678550,A549,7.04724,14.2141,9.68713
ENST00000216367,14,P56282,POLE2,protein_coding,DNA binding,molecular_function,0,49678400,49678550,Beas,5.45907,38.18264,33.39785
ENST00000216367,14,P56282,POLE2,protein_coding,protein binding,molecular_function,0,49678400,49678550,A549,7.04724,14.2141,9.68713
ENST00000216367,14,P56282,POLE2,protein_coding,protein binding,molecular_function,0,49678400,49678550,Beas,5.45907,38.18264,33.39785
ENST00000216367,14,P56282,POLE2,protein_coding,nuclear body,cellular_component,0,49678400,49678550,A549,7.04724,14.2141,9.68713
ENST00000216367,14,P56282,POLE2,protein_coding,nuclear body,cellular_component,0,49678400,49678550,Beas,5.45907,38.18264,33.39785
ENST00000216367,14,P56282,POLE2,protein_coding,DNA replication,biological_process,0,49678400,49678550,A549,7.04724,14.2141,9.68713
ENST00000216367,14,P56282,POLE2,protein_coding,DNA replication,biological_process,0,49678400,49678550,Beas,5.45907,38.18264,33.39785
ENST00000216367,14,P56282,POLE2,protein_coding,nucleotidyltransferase activity,molecular_function,0,49678400,49678550,A549,7.04724,14.2141,9.68713
ENST00000216367,14,P56282,POLE2,protein_coding,nucleotidyltransferase activity,molecular_function,0,49678400,49678550,Beas,5.45907,38.18264,33.39785
ENST00000216367,14,P56282,POLE2,protein_coding,DNA-directed DNA polymerase activity,molecular_function,0,49678400,49678550,A549,7.04724,14.2141,9.68713
ENST00000216367,14,P56282,POLE2,protein_coding,DNA-directed DNA polymerase activity,molecular_function,0,49678400,49678550,Beas,5.45907,38.18264,33.39785
ENST00000216367,14,P56282,POLE2,protein_coding,epsilon DNA polymerase complex,cellular_component,0,49678400,49678550,A549,7.04724,14.2141,9.68713
ENST00000216367,14,P56282,POLE2,protein_coding,epsilon DNA polymerase complex,cellular_component,0,49678400,49678550,Beas,5.45907,38.18264,33.39785
ENST00000216367,14,P56282,POLE2,protein_coding,DNA-dependent DNA replication,biological_process,0,49678400,49678550,A549,7.04724,14.2141,9.68713
ENST00000216367,14,P56282,POLE2,protein_coding,DNA-dependent DNA replication,biological_process,0,49678400,49678550,Beas,5.45907,38.18264,33.39785
ENST00000216367,14,P56282,POLE2,protein_coding,G1/S transition of mitotic cell cycle,biological_process,0,49678400,49678550,A549,7.04724,14.2141,9.68713
ENST00000216367,14,P56282,POLE2,protein_coding,G1/S transition of mitotic cell cycle,biological_process,0,49678400,49678550,Beas,5.45907,38.18264,33.39785
ENST00000216367,14,P56282,POLE2,protein_coding,DNA repair,biological_process,0,49678400,49678550,A549,7.04724,14.2141,9.68713
ENST00000216367,14,P56282,POLE2,protein_coding,DNA repair,biological_process,0,49678400,49678550,Beas,5.45907,38.18264,33.39785
ENST00000216367,14,P56282,POLE2,protein_coding,error-prone translesion synthesis,biological_process,0,49678400,49678550,A549,7.04724,14.2141,9.68713
ENST00000216367,14,P56282,POLE2,protein_coding,error-prone translesion synthesis,biological_process,0,49678400,49678550,Beas,5.45907,38.18264,33.39785
ENST00000216367,14,P56282,POLE2,protein_coding,DNA replication initiation,biological_process,0,49678400,49678550,A549,7.04724,14.2141,9.68713
ENST00000216367,14,P56282,POLE2,protein_coding,DNA replication initiation,biological_process,0,49678400,49678550,Beas,5.45907,38.18264,33.39785
ENST00000216367,14,P56282,POLE2,protein_coding,telomere maintenance via semi-conservative replication,biological_process,0,49678400,49678550,A549,7.04724,14.2141,9.68713
ENST00000216367,14,P56282,POLE2,protein_coding,telomere maintenance via semi-conservative replication,biological_process,0,49678400,49678550,Beas,5.45907,38.18264,33.39785
ENST00000227155,11,P27701,CD82,protein_coding,membrane,cellular_component,0,44569300,44569400,A549,9.2813,15.13096,10.53707
ENST00000227155,11,P27701,CD82,protein_coding,membrane,cellular_component,0,44569300,44569400,GM12878,10.36653,19.61588,14.31831
ENST00000227155,11,P27701,CD82,protein_coding,integral component of membrane,cellular_component,0,44569300,44569400,A549,9.2813,15.13096,10.53707
ENST00000227155,11,P27701,CD82,protein_coding,integral component of membrane,cellular_component,0,44569300,44569400,GM12878,10.36653,19.61588,14.31831
ENST00000227155,11,P27701,CD82,protein_coding,protein binding,molecular_function,0,44569300,44569400,A549,9.2813,15.13096,10.53707
ENST00000227155,11,P27701,CD82,protein_coding,protein binding,molecular_function,0,44569300,44569400,GM12878,10.36653,19.61588,14.31831
ENST00000227155,11,P27701,CD82,protein_coding,extracellular exosome,cellular_component,0,44569300,44569400,A549,9.2813,15.13096,10.53707
ENST00000227155,11,P27701,CD82,protein_coding,extracellular exosome,cellular_component,0,44569300,44569400,GM12878,10.36653,19.61588,14.31831
ENST00000227155,11,P27701,CD82,protein_coding,cell surface receptor signaling pathway,biological_process,0,44569300,44569400,A549,9.2813,15.13096,10.53707
ENST00000227155,11,P27701,CD82,protein_coding,cell surface receptor signaling pathway,biological_process,0,44569300,44569400,GM12878,10.36653,19.61588,14.31831
ENST00000227155,11,P27701,CD82,protein_coding,integral component of plasma membrane,cellular_component,0,44569300,44569400,A549,9.2813,15.13096,10.53707
ENST00000227155,11,P27701,CD82,protein_coding,integral component of plasma membrane,cellular_component,0,44569300,44569400,GM12878,10.36653,19.61588,14.31831
ENST00000227155,11,P27701,CD82,protein_coding,plasma membrane,cellular_component,0,44569300,44569400,A549,9.2813,15.13096,10.53707
ENST00000227155,11,P27701,CD82,protein_coding,plasma membrane,cellular_component,0,44569300,44569400,GM12878,10.36653,19.61588,14.31831
ENST00000229583,6,Q96IZ2,ADTRP,protein_coding,membrane,cellular_component,0,11746150,11746350,GM15510,19.96059,46.73289,41.51472
ENST00000229583,6,Q96IZ2,ADTRP,protein_coding,integral component of membrane,cellular_component,0,11746150,11746350,GM15510,19.96059,46.73289,41.51472
ENST00000229583,6,Q96IZ2,ADTRP,protein_coding,plasma membrane,cellular_component,0,11746150,11746350,GM15510,19.96059,46.73289,41.51472
ENST00000229583,6,Q96IZ2,ADTRP,protein_coding,endomembrane system,cellular_component,0,11746150,11746350,GM15510,19.96059,46.73289,41.51472
ENST00000233954,2,Q01638,IL1RL1,protein_coding,membrane,cellular_component,0,102317150,102317400,HUVEC,12.56358,34.59951,31.54384
ENST00000233954,2,Q01638,IL1RL1,protein_coding,membrane,cellular_component,0,102317150,102317400,GM18951,3.92802,6.17367,3.2209
ENST00000233954,2,Q01638,IL1RL1,protein_coding,integral component of membrane,cellular_component,0,102317150,102317400,HUVEC,12.56358,34.59951,31.54384
ENST00000233954,2,Q01638,IL1RL1,protein_coding,integral component of membrane,cellular_component,0,102317150,102317400,GM18951,3.92802,6.17367,3.2209
ENST00000233954,2,Q01638,IL1RL1,protein_coding,signal transduction,biological_process,0,102317150,102317400,HUVEC,12.56358,34.59951,31.54384
ENST00000233954,2,Q01638,IL1RL1,protein_coding,signal transduction,biological_process,0,102317150,102317400,GM18951,3.92802,6.17367,3.2209
ENST00000233954,2,Q01638,IL1RL1,protein_coding,plasma membrane,cellular_component,0,102317150,102317400,HUVEC,12.56358,34.59951,31.54384
ENST00000233954,2,Q01638,IL1RL1,protein_coding,plasma membrane,cellular_component,0,102317150,102317400,GM18951,3.92802,6.17367,3.2209
ENST00000233954,2,Q01638,IL1RL1,protein_coding,protein binding,molecular_function,0,102317150,102317400,HUVEC,12.56358,34.59951,31.54384
ENST00000233954,2,Q01638,IL1RL1,protein_coding,protein binding,molecular_function,0,102317150,102317400,GM18951,3.92802,6.17367,3.2209
ENST00000233954,2,Q01638,IL1RL1,protein_coding,extracellular region,cellular_component,0,102317150,102317400,HUVEC,12.56358,34.59951,31.54384
ENST00000233954,2,Q01638,IL1RL1,protein_coding,extracellular region,cellular_component,0,102317150,102317400,GM18951,3.92802,6.17367,3.2209
ENST00000233954,2,Q01638,IL1RL1,protein_coding,immune response,biological_process,0,102317150,102317400,HUVEC,12.56358,34.59951,31.54384
ENST00000233954,2,Q01638,IL1RL1,protein_coding,immune response,biological_process,0,102317150,102317400,GM18951,3.92802,6.17367,3.2209
ENST00000233954,2,Q01638,IL1RL1,protein_coding,cytokine-mediated signaling pathway,biological_process,0,102317150,102317400,HUVEC,12.56358,34.59951,31.54384
ENST00000233954,2,Q01638,IL1RL1,protein_coding,cytokine-mediated signaling pathway,biological_process,0,102317150,102317400,GM18951,3.92802,6.17367,3.2209
ENST00000233954,2,Q01638,IL1RL1,protein_coding,interleukin-1 receptor activity,molecular_function,0,102317150,102317400,HUVEC,12.56358,34.59951,31.54384
ENST00000233954,2,Q01638,IL1RL1,protein_coding,interleukin-1 receptor activity,molecular_function,0,102317150,102317400,GM18951,3.92802,6.17367,3.2209
ENST00000233954,2,Q01638,IL1RL1,protein_coding,"signal transducer activity, downstream of receptor",molecular_function,0,102317150,102317400,HUVEC,12.56358,34.59951,31.54384
ENST00000233954,2,Q01638,IL1RL1,protein_coding,"signal transducer activity, downstream of receptor",molecular_function,0,102317150,102317400,GM18951,3.92802,6.17367,3.2209
ENST00000233954,2,Q01638,IL1RL1,protein_coding,cytokine receptor activity,molecular_function,0,102317150,102317400,HUVEC,12.56358,34.59951,31.54384
ENST00000233954,2,Q01638,IL1RL1,protein_coding,cytokine receptor activity,molecular_function,0,102317150,102317400,GM18951,3.92802,6.17367,3.2209
ENST00000233954,2,Q01638,IL1RL1,protein_coding,interleukin-33 binding,molecular_function,0,102317150,102317400,HUVEC,12.56358,34.59951,31.54384
ENST00000233954,2,Q01638,IL1RL1,protein_coding,interleukin-33 binding,molecular_function,0,102317150,102317400,GM18951,3.92802,6.17367,3.2209
ENST00000233954,2,Q01638,IL1RL1,protein_coding,interleukin-33 receptor activity,molecular_function,0,102317150,102317400,HUVEC,12.56358,34.59951,31.54384
ENST00000233954,2,Q01638,IL1RL1,protein_coding,interleukin-33 receptor activity,molecular_function,0,102317150,102317400,GM18951,3.92802,6.17367,3.2209
ENST00000233954,2,Q01638,IL1RL1,protein_coding,negative regulation of T-helper 1 type immune response,biological_process,0,102317150,102317400,HUVEC,12.56358,34.59951,31.54384
ENST00000233954,2,Q01638,IL1RL1,protein_coding,negative regulation of T-helper 1 type immune response,biological_process,0,102317150,102317400,GM18951,3.92802,6.17367,3.2209
ENST00000233954,2,Q01638,IL1RL1,protein_coding,negative regulation of interferon-gamma production,biological_process,0,102317150,102317400,HUVEC,12.56358,34.59951,31.54384
ENST00000233954,2,Q01638,IL1RL1,protein_coding,negative regulation of interferon-gamma production,biological_process,0,102317150,102317400,GM18951,3.92802,6.17367,3.2209
ENST00000233954,2,Q01638,IL1RL1,protein_coding,positive regulation of interleukin-5 production,biological_process,0,102317150,102317400,HUVEC,12.56358,34.59951,31.54384
ENST00000233954,2,Q01638,IL1RL1,protein_coding,positive regulation of interleukin-5 production,biological_process,0,102317150,102317400,GM18951,3.92802,6.17367,3.2209
ENST00000233954,2,Q01638,IL1RL1,protein_coding,interleukin-33-mediated signaling pathway,biological_process,0,102317150,102317400,HUVEC,12.56358,34.59951,31.54384
ENST00000233954,2,Q01638,IL1RL1,protein_coding,interleukin-33-mediated signaling pathway,biological_process,0,102317150,102317400,GM18951,3.92802,6.17367,3.2209
ENST00000233954,2,Q01638,IL1RL1,protein_coding,positive regulation of macrophage activation,biological_process,0,102317150,102317400,HUVEC,12.56358,34.59951,31.54384
ENST00000233954,2,Q01638,IL1RL1,protein_coding,positive regulation of macrophage activation,biological_process,0,102317150,102317400,GM18951,3.92802,6.17367,3.2209
ENST00000233954,2,Q01638,IL1RL1,protein_coding,negative regulation of I-kappaB kinase/NF-kappaB signaling,biological_process,0,102317150,102317400,HUVEC,12.56358,34.59951,31.54384
ENST00000233954,2,Q01638,IL1RL1,protein_coding,negative regulation of I-kappaB kinase/NF-kappaB signaling,biological_process,0,102317150,102317400,GM18951,3.92802,6.17367,3.2209
ENST00000233954,2,Q01638,IL1RL1,protein_coding,positive regulation of inflammatory response,biological_process,0,102317150,102317400,HUVEC,12.56358,34.59951,31.54384
ENST00000233954,2,Q01638,IL1RL1,protein_coding,positive regulation of inflammatory response,biological_process,0,102317150,102317400,GM18951,3.92802,6.17367,3.2209
ENST00000233954,2,Q01638,IL1RL1,protein_coding,positive regulation of chemokine secretion,biological_process,0,102317150,102317400,HUVEC,12.56358,34.59951,31.54384
ENST00000233954,2,Q01638,IL1RL1,protein_coding,positive regulation of chemokine secretion,biological_process,0,102317150,102317400,GM18951,3.92802,6.17367,3.2209
ENST00000233954,2,Q01638,IL1RL1,protein_coding,proteinaceous extracellular matrix,cellular_component,0,102317150,102317400,HUVEC,12.56358,34.59951,31.54384
ENST00000233954,2,Q01638,IL1RL1,protein_coding,proteinaceous extracellular matrix,cellular_component,0,102317150,102317400,GM18951,3.92802,6.17367,3.2209
ENST00000233954,2,Q01638,IL1RL1,protein_coding,external side of plasma membrane,cellular_component,0,102317150,102317400,HUVEC,12.56358,34.59951,31.54384
ENST00000233954,2,Q01638,IL1RL1,protein_coding,external side of plasma membrane,cellular_component,0,102317150,102317400,GM18951,3.92802,6.17367,3.2209
ENST00000233957,2,Q13478,IL18R1,protein_coding,membrane,cellular_component,0,102394300,102394600,IMR90,9.91667,24.07982,20.32517
ENST00000233957,2,Q13478,IL18R1,protein_coding,membrane,cellular_component,0,102394300,102395450,SGBS,5.03797,10.15551,5.98858
ENST00000233957,2,Q13478,IL18R1,protein_coding,membrane,cellular_component,0,102394300,102394600,GM19099,9.69505,17.49717,13.81513
ENST00000233957,2,Q13478,IL18R1,protein_coding,membrane,cellular_component,0,102395200,102395450,IMR90,4.53196,8.8184,5.63878
ENST00000233957,2,Q13478,IL18R1,protein_coding,integral component of membrane,cellular_component,0,102394300,102394600,IMR90,9.91667,24.07982,20.32517
ENST00000233957,2,Q13478,IL18R1,protein_coding,integral component of membrane,cellular_component,0,102394300,102395450,SGBS,5.03797,10.15551,5.98858
ENST00000233957,2,Q13478,IL18R1,protein_coding,integral component of membrane,cellular_component,0,102394300,102394600,GM19099,9.69505,17.49717,13.81513
ENST00000233957,2,Q13478,IL18R1,protein_coding,integral component of membrane,cellular_component,0,102395200,102395450,IMR90,4.53196,8.8184,5.63878
ENST00000233957,2,Q13478,IL18R1,protein_coding,signal transduction,biological_process,0,102394300,102394600,IMR90,9.91667,24.07982,20.32517
ENST00000233957,2,Q13478,IL18R1,protein_coding,signal transduction,biological_process,0,102394300,102395450,SGBS,5.03797,10.15551,5.98858
ENST00000233957,2,Q13478,IL18R1,protein_coding,signal transduction,biological_process,0,102394300,102394600,GM19099,9.69505,17.49717,13.81513
ENST00000233957,2,Q13478,IL18R1,protein_coding,signal transduction,biological_process,0,102395200,102395450,IMR90,4.53196,8.8184,5.63878
ENST00000233957,2,Q13478,IL18R1,protein_coding,protein binding,molecular_function,0,102394300,102394600,IMR90,9.91667,24.07982,20.32517
ENST00000233957,2,Q13478,IL18R1,protein_coding,protein binding,molecular_function,0,102394300,102395450,SGBS,5.03797,10.15551,5.98858
ENST00000233957,2,Q13478,IL18R1,protein_coding,protein binding,molecular_function,0,102394300,102394600,GM19099,9.69505,17.49717,13.81513
ENST00000233957,2,Q13478,IL18R1,protein_coding,protein binding,molecular_function,0,102395200,102395450,IMR90,4.53196,8.8184,5.63878
ENST00000233957,2,Q13478,IL18R1,protein_coding,plasma membrane,cellular_component,0,102394300,102394600,IMR90,9.91667,24.07982,20.32517
ENST00000233957,2,Q13478,IL18R1,protein_coding,plasma membrane,cellular_component,0,102394300,102395450,SGBS,5.03797,10.15551,5.98858
ENST00000233957,2,Q13478,IL18R1,protein_coding,plasma membrane,cellular_component,0,102394300,102394600,GM19099,9.69505,17.49717,13.81513
ENST00000233957,2,Q13478,IL18R1,protein_coding,plasma membrane,cellular_component,0,102395200,102395450,IMR90,4.53196,8.8184,5.63878
ENST00000233957,2,Q13478,IL18R1,protein_coding,interleukin-1 receptor activity,molecular_function,0,102394300,102394600,IMR90,9.91667,24.07982,20.32517
ENST00000233957,2,Q13478,IL18R1,protein_coding,interleukin-1 receptor activity,molecular_function,0,102394300,102395450,SGBS,5.03797,10.15551,5.98858
ENST00000233957,2,Q13478,IL18R1,protein_coding,interleukin-1 receptor activity,molecular_function,0,102394300,102394600,GM19099,9.69505,17.49717,13.81513
ENST00000233957,2,Q13478,IL18R1,protein_coding,interleukin-1 receptor activity,molecular_function,0,102395200,102395450,IMR90,4.53196,8.8184,5.63878
ENST00000233957,2,Q13478,IL18R1,protein_coding,immune response,biological_process,0,102394300,102394600,IMR90,9.91667,24.07982,20.32517
ENST00000233957,2,Q13478,IL18R1,protein_coding,immune response,biological_process,0,102394300,102395450,SGBS,5.03797,10.15551,5.98858
ENST00000233957,2,Q13478,IL18R1,protein_coding,immune response,biological_process,0,102394300,102394600,GM19099,9.69505,17.49717,13.81513
ENST00000233957,2,Q13478,IL18R1,protein_coding,immune response,biological_process,0,102395200,102395450,IMR90,4.53196,8.8184,5.63878
ENST00000233957,2,Q13478,IL18R1,protein_coding,receptor activity,molecular_function,0,102394300,102394600,IMR90,9.91667,24.07982,20.32517
ENST00000233957,2,Q13478,IL18R1,protein_coding,receptor activity,molecular_function,0,102394300,102395450,SGBS,5.03797,10.15551,5.98858
ENST00000233957,2,Q13478,IL18R1,protein_coding,receptor activity,molecular_function,0,102394300,102394600,GM19099,9.69505,17.49717,13.81513
ENST00000233957,2,Q13478,IL18R1,protein_coding,receptor activity,molecular_function,0,102395200,102395450,IMR90,4.53196,8.8184,5.63878
ENST00000235329,1,O95140,MFN2,protein_coding,membrane,cellular_component,0,12013150,12013350,GM18951,6.57939,24.49225,20.53797
ENST00000235329,1,O95140,MFN2,protein_coding,integral component of membrane,cellular_component,0,12013150,12013350,GM18951,6.57939,24.49225,20.53797
ENST00000235329,1,O95140,MFN2,protein_coding,GTP binding,molecular_function,0,12013150,12013350,GM18951,6.57939,24.49225,20.53797
ENST00000235329,1,O95140,MFN2,protein_coding,nucleotide binding,molecular_function,0,12013150,12013350,GM18951,6.57939,24.49225,20.53797
ENST00000235329,1,O95140,MFN2,protein_coding,hydrolase activity,molecular_function,0,12013150,12013350,GM18951,6.57939,24.49225,20.53797
ENST00000235329,1,O95140,MFN2,protein_coding,GTPase activity,molecular_function,0,12013150,12013350,GM18951,6.57939,24.49225,20.53797
ENST00000235329,1,O95140,MFN2,protein_coding,cytosol,cellular_component,0,12013150,12013350,GM18951,6.57939,24.49225,20.53797
ENST00000235329,1,O95140,MFN2,protein_coding,mitochondrial outer membrane,cellular_component,0,12013150,12013350,GM18951,6.57939,24.49225,20.53797
ENST00000235329,1,O95140,MFN2,protein_coding,mitochondrion,cellular_component,0,12013150,12013350,GM18951,6.57939,24.49225,20.53797
ENST00000235329,1,O95140,MFN2,protein_coding,protein binding,molecular_function,0,12013150,12013350,GM18951,6.57939,24.49225,20.53797
ENST00000235329,1,O95140,MFN2,protein_coding,apoptotic process,biological_process,0,12013150,12013350,GM18951,6.57939,24.49225,20.53797
ENST00000235329,1,O95140,MFN2,protein_coding,autophagy,biological_process,0,12013150,12013350,GM18951,6.57939,24.49225,20.53797
